title,authors,isbn,description,genre
The Philosophy of Antonio Negri  Volume One: Resistance in Practice,Timothy S. Murphy/Abdul-Karim Mustapha,0745323375,No description available,"Intelligence officers, Political fiction, Mitch Rapp (Fictitious character), Fiction, Attempted assassination, Presidential candidates, Terrorism, Prevention, Fiction, thrillers, general, Presidents, united states, fiction, Rapp, mitch (fictitious character), fiction, Terrorism, fiction, Fiction, political, Washington (d.c.), fiction, Large type books"
Act of Treason (Mitch Rapp  #9),Vince Flynn,0743270371,No description available,Philosophers
Act of Treason (Mitch Rapp  #9),Vince Flynn,1416542264,No description available,"Intelligence officers, Open Library Staff Picks, Fiction, Attempted assassination, Presidential candidates, Mitch Rapp (Fictitious character), Fiction, thrillers, general, Presidents, united states, fiction, Rapp, mitch (fictitious character), fiction, Terrorism, fiction, Fiction, political, Washington (d.c.), fiction"
Act of Treason (Mitch Rapp  #9),Vince Flynn,1585479004,No description available,"Comics & graphic novels, east asian style, manga, general, Presidents, fiction"
President Dad  Volume 2,Ju-Yeon Rhim,1595322353,No description available,"Doping in sports, Anabolic steroids, Bonds, barry, 1964-"
Game of Shadows: Barry Bonds  BALCO  and the Steroids Scandal that Rocked Professional Sports,Mark Fainaru-Wada/Lance Williams,1592402682,No description available,"Intelligence officers, Political fiction, Mitch Rapp (Fictitious character), Fiction, Attempted assassination, Presidential candidates, Terrorism, Prevention, Fiction, thrillers, general, Presidents, united states, fiction, Rapp, mitch (fictitious character), fiction, Terrorism, fiction, Fiction, political, Washington (d.c.), fiction, Large type books"
Dark Water,Kōji Suzuki/Glynne Walley,1932234225,No description available,"Japanese Horror tales, Translations into English, Fiction, horror"
Dark Water's Embrace (Mictlan  #1),Stephen Leigh,0380794780,No description available,"Social aspects, Human reproduction, Sex (Biology), Fiction, Fiction, science fiction, general"
In Dark Waters,Mary Burton,0373274483,No description available,"Man-woman relationships, Fiction, Fiction, romance, general"
Oswald Chambers  Abandoned to God: The Life Story of the Author of My Utmost for His Highest,David McCasland/Oswald Chambers,1572930500,No description available,"Evangelists, Christian poetry, English, Clergy, English Christian poetry, Biography"
Mandie and the Abandoned Mine (Mandie  #8),Lois Gladys Leppard,0871239329,No description available,"Murder, united states, United states, biography"
Abandoned Prayers: The Incredible True Story of Murder  Obsession and Amish Secrets,Gregg Olsen,0312982011,No description available,"Mystery and detective stories, Detective and mystery stories, Adventure and adventurers, Juvenile fiction, Christian life, Fiction"
C++ Programmer's Notebook,Jim Keogh/John Shapley Gray,0130887013,No description available,"C&& (Computer program language), C (Computer program language), Computer programming, C plus plus (computer program language), C++ (Computer program language)"
The Sibley Field Guide to Birds of Western North America,David Allen Sibley,0679451218,No description available,"Identification, Birds, Pictorial works, Bird watching, Guidebooks"
The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,0810982196,No description available,"National geographic society (u.s.), History, National Geographic Society"
Park Profiles: Grand Canyon Country (Park Profiles),National Geographic Society,0792270320,No description available,Travel
Canada's Incredible Coasts,Donald J. Crump/William R. Gray,0870448293,No description available,"Littoral, Coasts, Description and travel, Descriptions et voyages, Canada"
Shout Out Loud! 2,Satosumi Takaguchi,1598163175,No description available,"Comics & graphic novels, east asian style, manga, romance, Comics & graphic novels, sports"
Shout Out Loud! 5,Satosumi Takaguchi,1598163205,No description available,"Comics & graphic novels, sports, Fathers and sons, fiction, Comics & graphic novels, east asian style, manga, romance"
Can't Win With You 1,Satosumi Takaguchi/Yukine Honami,1569708126,No description available,"Comics & graphic novels, manga, gay & lesbian"
叫んでやるぜ! (1) (あすかコミックスCL-DX),Satosumi Takaguchi/Satosumi Takaguchi,4048526456,No description available,Unknown
叫んでやるぜ! (2) (ASUKA COMICS CL-DX),Satosumi Takaguchi/Satosumi Takaguchi,4048527851,No description available,Unknown
Soups,Norman Kolpas/Allan Rosenberg/Chuck Williams/Laurie Wertz,0783502508,No description available,Pies
Pies and Tarts,Chuck Williams/Laurie Wertz/John Phillip Carroll,0783502001,No description available,"Soups, Sopas"
The Fate of Reason: German Philosophy from Kant to Fichte,Frederick C. Beiser,067429503X,No description available,"German Philosophy, History, Philosophy, German, Reason, Philosophie allemande, Raison, Histoire, Filosofie, Philosophie"
Michael's Golden Rules,Deloris Jordan/Roslyn M. Jordan/Michael Jordan/Kadir Nelson,0689870167,No description available,"Fiction, Baseball, Self-confidence, Baseball stories, Juvenile fiction, Teamwork (Sports), Children's fiction, Baseball, fiction, Self-confidence, fiction"
Confessions of an Actor,Laurence Olivier,0671417010,No description available,"Actors, Biography"
For Lust of Knowing: The Orientalists and Their Enemies,Robert Irwin,0140289232,No description available,"Insomniacs, Dreams, Fiction, Fiction, mystery & detective, general, Egypt, fiction, Fiction, general"
The Arabian Nightmare,Robert Irwin,1585672173,No description available,"Orientalism, Asianists, Middle East specialists, Orientalists"
The Plot Against America,Philip Roth,0224074539,No description available,"American Historical Fiction, Roth, Philip - Prose & Criticism, Fiction, Fiction - General, Spanish: Adult Fiction, Historical - General, Political, Elección, Alternative histories (Fiction), Jews, Presidentes, Political fiction, Presidents, Autobiographical fiction, Jewish families, Election, Antisemitism, Jewish fiction, Presidents -- United States -- Fiction, Presidents -- Election -- Fiction, Jews -- United States -- Fiction, Jewish families -- Fiction, Antisemitism -- Fiction, Newark (N.Y.) -- Fiction, Politics and government, University of South Alabama, Presidents, united states, fiction, Jews, fiction, New jersey, fiction, Fiction, alternative history, Fiction, political, American fiction (fictional works by one author), American literature, Large type books, Portuguese language materials, Fiction, jewish, Jewish Americans, Prejudice, Humiliation, Autobiographical novels"
Continental Drift,Russell Banks,0060854944,No description available,"Brothers, fiction, Florida, fiction, Fiction, general"
The Darling,Russell Banks,0060957352,No description available,"Fiction, Animals, Women, Americans, Endangered species, Chimpanzees, Human-animal relationships, Treatment, Fiction, historical, Fiction, psychological, Africa, fiction, Fiction, general"
Affliction,Russell Banks/Pierre Furlan,2742722807,No description available,"Short stories, Fiction, general, Manners and customs, Fiction"
Success Stories,Russell Banks,0060927194,No description available,"american fiction, fiction, Antislavery movements, historical fiction, Fiction, historical, general, West virginia, fiction, Fiction, Abolitionists, History, John Brown's Raid (Harpers Ferry, West Virginia : 1859) fast (OCoLC)fst01353470"
Cloudsplitter,Russell Banks,0060930861,No description available,Unknown
A Multitude of Sins,Richard Ford,037572656X,No description available,"Adultery, American Psychological fiction, Failure (Psychology), Fiction, Intimacy (Psychology), Man-woman relationships, Psychological fiction, American, Sexual attraction, Short stories, Fiction, short stories (single author), Fiction, psychological, Man-woman relationships, fiction"
The Custom of the Country,Edith Wharton/Linda Wagner-Martin,0143039709,No description available,"Fiction, Divorced women, Upper class, Remarried people, Americans, Social life and customs, Classic Literature, Literature, Romance, American fiction (fictional works by one author), Fiction, humorous, Divorced people, fiction, New york (n.y.), fiction, Paris (france), fiction, Fiction, general, Fiction, family life, Fiction, humorous, general"
Quicksand,Nella Larsen,0486451402,No description available,"African americans, fiction, Young women, fiction, New york (n.y.), fiction, Copenhagen (denmark), fiction, Fiction, general, African American women, Danish American women, Fiction, Racially mixed people, Young women, open_syllabus_project, American fiction, Fiction, african american & black, general, Denmark, fiction, African Americans, Quicksand (Larsen, Nella), Fiction, coming of age"
Their Eyes Were Watching God,Zora Neale Hurston/Ruby Dee,0060776536,No description available,"African American women, Fiction, Psychology, Self-realization, Florida, fiction, African americans, fiction, Fiction, psychological, African american women in literature, African americans, Allegories, Psychological fiction, Florida, Epic literature, Open_syllabus_project, Afro-american women-, Historical fiction, Self-realization-, 1000blackgirlbooks, Marriage, Love stories, Classics, Literary, Chr 2006, Man-woman relationship, Women, Reading level-grade 9, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12, American fiction (fictional works by one author), Southern states, fiction, Fiction, general, Man-woman relationships, Romance fiction, American, LITERARY CRITICISM, African American"
Novels and Stories,Zora Neale Hurston/Cheryl A. Wall,0940450836,No description available,"Theory of Knowledge, Erkenntnistheorie, Werkelijkheid, Wissenschaftstheorie, Et la théorie de la connaissance, Kennis, Vorm, Plato"
Plato on Knowledge and Reality,Nicholas P. White,0915144220,No description available,"African Americans, Fiction, African americans, fiction, Social life and customs"
A Companion to Plato's Republic,Nicholas P. White,0915144921,No description available,Plato
Something Rotten (Thursday Next  #4),Jasper Fforde,014303541X,No description available,"Thursday Next (Fictitious character), Women detectives, Fiction, Characters and characteristics in literature, English women novelists in fiction, Characters and characteristics in literature in fiction, English Women novelists, Women detectives in fiction, Fiction, mystery & detective, general, Authors, fiction, Next, thursday (fictitious character), fiction, New York Times reviewed, Books and reading, Fantasy, Fantasy fiction, Detective and mystery stories, Fiction, fantasy, contemporary"
Lost in a Good Book (Thursday Next  #2),Jasper Fforde,0142004030,No description available,"Fiction, Thursday Next (Fictitious character), Books and reading, Authorship, Characters and characteristics in literature, Women detectives, Time travel, Fiction, fantasy, general, Fiction, mystery & detective, general, Next, thursday (fictitious character), fiction, English Fantasy Fiction, Fantasy fiction, Mystery fiction, Criminal investigation, Fiction, mystery & detective, women sleuths, Inspectrices de police, Romans, nouvelles, Roman, Art d'écrire, Livres et lecture"
The Well of Lost Plots (Thursday Next #3),Jasper Fforde,0143034359,No description available,"Imaginary histories, Libraries, Thursday Next (Fictitious character), Detective and mystery stories, Government agents, Women detectives, Fiction, Books and reading, English Women novelists, Characters and characteristics in literature, Time travel, Fiction, mystery & detective, women sleuths, Authors, fiction, Great britain, fiction, Fiction, fantasy, contemporary, Next, thursday (fictitious character), fiction, Literaturproduktion, Fiction, mystery & detective, general, Fiction, fantasy, general"
First Among Sequels (Thursday Next  #5),Jasper Fforde,0670038717,No description available,"Books and reading, Thursday Next (Fictitious character), Crimean War, 1853-1856, Women detectives, Fiction, Fathers and daughters, Censorship, Characters and characteristics in literature, Large type books, Fiction, historical, general, Fiction, fantasy, contemporary, England, fiction, Fathers and daughters, fiction, Next, thursday (fictitious character), fiction, Kriminalfall, Dickens, Charles / The life and adventures of Martin Chuzzlewit, Farce, Phantasiewelt, Literarische Gestalt, Manuskript, Detektivin, Belletristische Darstellung, Literature and fiction, fantasy, Fiction, historical, Fathers and daughters-Fiction, Father-daughter relationship, Alternative histories, Fantasy fiction"
The Eyre Affair (Thursday Next  #1),Jasper Fforde,0142001805,No description available,"Thursday Next (Fictitious character), Detective and mystery stories, Fantasy fiction, Women detectives, Fiction, Books and reading, Characters and characteristics in literature, Time travel, English Women novelists, Mystery, Large type books, Fiction, mystery & detective, general, Next, thursday (fictitious character), fiction, Authors, fiction, Great britain, fiction, Private investigators, fiction, Fiction, mystery & detective, women sleuths, Fiction, fantasy, general"
The Eyre Affair (Thursday Next  #1),Jasper Fforde,034073356X,No description available,"Books and reading, Thursday Next (Fictitious character), Crimean War, 1853-1856, Women detectives, Fiction, Fathers and daughters, Censorship, Characters and characteristics in literature, Large type books, Fiction, historical, general, Fiction, fantasy, contemporary, England, fiction, Fathers and daughters, fiction, Next, thursday (fictitious character), fiction, Kriminalfall, Dickens, Charles / The life and adventures of Martin Chuzzlewit, Farce, Phantasiewelt, Literarische Gestalt, Manuskript, Detektivin, Belletristische Darstellung, Literature and fiction, fantasy, Fiction, historical, Fathers and daughters-Fiction, Father-daughter relationship, Alternative histories, Fantasy fiction"
Chop Shop (Bug Man  #2),Tim Downs,1582294011,No description available,"Entomologists, Transplantation of organs, tissues, Nick Polchak (Fictitious character), Fiction, Forensic entomology, Fiction, suspense, Pennsylvania, fiction"
Shoofly Pie (Bug Man  #1),Tim Downs,1582293082,No description available,"Entomologists, Nick Polchak (Fictitious character), Fiction, Forensic entomology, Fiction, christian, general, Fiction, mystery & detective, general"
RG Veda  Vol. 01,CLAMP,1595324844,No description available,"Young adult Graphic novels, Graphic novels, Young adult, Graphic novels, Magic, Gods, Hindu, Translations into English, Quests (Expeditions), Fiction, Prophecies, Comic books, strips, etc, Hindu Gods, Supernatural, Fantasy comic books, strips, Comic books, strips, Good and evil, Cartoons and comics, Fantasy, Comics & graphic novels, east asian style, manga, fantasy"
Augustine,Henry Chadwick,0192875345,No description available,"Augustine, Saint, Bishop of Hippo, Saints chrétiens, Théologie, Augustine, saint, bishop of hippo, 354-430, Theology, Christian saints"
The Church in Ancient Society: From Galilee to Gregory the Great (History of the Christian Church),Henry Chadwick,0199265771,No description available,"Church history, primitive and early church, ca. 30-600"
East and West: The Making of a Rift in the Church from Apostolic Times until the Council of Florence (History of the Christian Church),Henry Chadwick,0199280169,No description available,"Church history, Schism, Eastern and Western Church, Middle Ages, Primitive and early church, Morgenländisches Schisma, Kirche, Konflikt, Katholische Kirche"
Satan in Goray,Isaac Bashevis Singer/Jacob Sloan/Ruth R. Wisse,0374524793,No description available,"Criticism and interpretation, Pogroms, Mental illness, Second Advent, Fiction, Fiction, general, Jews, Translations into English"
Lights Out,Peter Abrahams,0345445783,No description available,"Fiction, Ex-convicts, False imprisonment, Fiction, general, Fiction, thrillers, suspense"
Behind the Curtain (Echo Falls  #2),Peter Abrahams,0060737042,No description available,"Detective and mystery stories, Mystery and detective stories, Fiction, Juvenile fiction, Kidnapping, Children's fiction, Brothers and sisters, fiction, Literature, Mystery, Mystery and suspense stories, Murder, Criminal investigation, Literature and fiction, juvenile, Schools, fiction"
Red Message,Peter Abrahams,0380898039,No description available,"Fiction, science fiction, general, Fiction, general, Short stories, Women authors"
Her Smoke Rose Up Forever,James Tiptree Jr.,1892391201,No description available,"American Science fiction, Fiction, general, Fiction, science fiction, general, Science fiction, american, American fiction--women authors, Ps3570.i66 a6 2004, 813/.54, American fiction, Women authors"
The Starry Rift,James Tiptree Jr.,0312890214,No description available,"Critical thinking, Feminism and education, Critical pedagogy, Study and teaching, Teaching, Demokratisierung, Étude et enseignement, Unterricht, Emanzipatorische Erziehung, Kritisches Denken, Pédagogie féministe, Pédagogie critique, Verhaltensmodifikation, Innovation, Esprit critique, Feminism, Pädagogik, Pensée critique, Enseignement, Onderwijs, Relations maître-élève, Feminisme, Thinking, Transgression, Prejudice, Education, Kritische pedagogiek, Éducation interculturelle, Féminisme et éducation, Prejudices, Thought and thinking, Féminisme, Préjugés, Pensée, Pèadagogik, Essays, Organizations & Institutions, Reference, Critical thinking--study and teaching, Lc196 .h66 1994, 370.11/5"
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,0415908086,No description available,"Murder, Psychological fiction, Teenage girls, Familias, Muchachas adolescentes, Novela psicológica, Bereavement, Dead, Murder victims' families, Fiction, Víctimas de asesinato, Crimes against, Ficción, Delitos contra, Novela hogareña, Susie Salmon (Fictitious character), Homicide, Girls, Family life, Domestic fiction, Teenagers, Families, Ghost stories, Future life, Victims of crimes, Spirits, Fiction, psychological, Fiction, family life, Large type books, nyt:trade-fiction-paperback=2009-08-30, New York Times bestseller, American fiction, Fiction, family life, general, Adolescentes, Romans, nouvelles, Crimes contre, Familles de victimes d'homicide, Murder victims' families--fiction, Teenage girls--crimes against, Teenage girls--crimes against--fiction, Ps3619.e26 l68 2004, 813/.6, Murder victims, Abus sexuels? l'?gard des adolescentes, Fiction, general, Dutch fiction, Familie, Jenseits, Kleinstadt, Weibliche Jugend, Beobachtung, Trauerarbeit, Sexualmord, Deuil, Morts"
Desde mi cielo,Alice Sebold/Aurora Echevarría,0307209431,No description available,"History, Rome, history, empire, 30 b.c.-476 a.d., Rome, history"
The Roman Empire,Colin      Wells,0674777700,No description available,"Job hunting, Biography, Unemployed women workers, Women, united states, biography, Humor"
Bitter Is the New Black: Confessions of a Condescending  Egomaniacal  Self-Centered Smartass  Or  Why You Should Never Carry A Prada Bag to the Unemployment Office,Jen Lancaster,0451217608,No description available,"Economics, Wirtschaftstheorie, USA, Theorie, Volkswirtschaftslehre, Economics, international, Beleidsvorming, Macro-economie, Micro-economie, Economie, 83.10 general economic theory: general, Économie politique, 83.00 economics: general, Textbooks, Macroeconomics, International trade"
Economics,Paul Krugman/Robin Wells,0716799561,No description available,"History, Development economics, Economic geography, Économie du développement, Histoire, Géographie économique, POLITICAL SCIENCE, Public Policy, Economic Policy, BUSINESS & ECONOMICS, Government & Business, Development, Economic Development, Business Development, Structural Adjustment, General, Ontwikkelingseconomie, Economische geografie, Economic development, Macroeconomics, Landscape & environment - social aspects"
Development  Geography  and Economic Theory,Paul Krugman,026261135X,No description available,"Fiction, mystery & detective, general"
Pop Internationalism,Paul Krugman,0262611333,No description available,"International economic relations, International trade, Commerce international, BUSINESS & ECONOMICS, International, General, Economics, Internationalisation, Libre-échange, Relations économiques internationales, Mondialisation, Außenwirtschaftstheorie, Welthandel, Weltwirtschaft, Economische betrekkingen, Internationale handel"
An Unquiet Grave (Louis Kincaid  #7),P.J. Parrish,0786016078,No description available,"Fiction, mystery & detective, general, Fiction, thrillers, general, Serial murders, fiction, Private investigators, Fiction, Racially mixed people"
Island Of Bones (Louis Kincaid  #5),P.J. Parrish,0786016051,No description available,"Private investigators, Serial murders, Ex-police officers, Crimes against, Fiction, Louis Kincaid (Fictitious character), Young women, Fiction, mystery & detective, general, Fiction, thrillers, general"
Dead Of Winter (Louis Kincaid  #2),P.J. Parrish,0786011890,No description available,"Judicial error, Private investigators, Lawyers, Racially mixed people, Ex-convicts, Crimes against, Fiction, Louis Kincaid (Fictitious character), Fiction, mystery & detective, general"
Thicker Than Water (Louis Kincaid  #4),P.J. Parrish,0786014202,No description available,"Police, Serial murders, Fiction, Michigan, fiction, Fiction, mystery & detective, general, Serial murders, fiction"
Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,1892062437,No description available,Teleportation
Pictures Showing What Happens on Each Page of Thomas Pynchon's Novel Gravity's Rainbow,Zak Smith/Steve Erickson,0977312798,No description available,"Greek influences, Civilization, Western, Philosophy, Western Civilization, Civilization, Nonfiction, History, Civilization, Western -- Greek influences., Large type books, New York Times reviewed, Greece, civilization, to 146 b.c., Civilization, western"
Sailing the Wine-Dark Sea: Why the Greeks Matter,Thomas Cahill,0385495544,No description available,"Bible, commentaries, n. t. gospels, Readers, bible, Bible, versions, english, Commentaries, Bible"
The Gospel According to Luke,Anonymous/Thomas Cahill,0802136184,No description available,"Fiction, Murder, Long Now Manual for Civilization, Fiction, mystery & detective, general, Ireland, fiction"
The Third Policeman,Flann O'Brien/Denis Donoghue,156478214X,No description available,"American fiction, Illustration of books, Illustrations"
The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Thucydides/Robert B. Strassler/Richard Crawley/Victor Davis Hanson,0684827905,No description available,"History, Long Now Manual for Civilization, Histoire, 18.43 ancient Greek literature, Chronologie, Peloponnesischer Krieg, Peloponnesische Oorlog, Sources, Campaigns, Greece, history, peloponnesian war, 431-404 b.c., Thucydides, Historia, Peloponnesian War (Greece : 431-404 B.C.) fast (OCoLC)fst01353967, Guerra del Peloponeso, 431-404 a.c., Historiae"
Six Haunted Hairdos (The Hamlet Chronicles  #2),Gregory Maguire/Elaine Clayton,0064407209,No description available,"Love, Children's fiction, Ghosts, fiction, Clubs, fiction, Vermont, fiction, Humorous stories, Animal ghosts, Clubs, Fiction, Ghosts, Jews, Old Testament, Bible stories, Jewish legends, English Bible stories, Folklore, Midrash, Juvenile literature, Genesis, Large type books, New York Times reviewed, Juvenile fiction, Ghost stories, Bible stories, o.t., Legends, O.T., Bible, Legends of the Jews (Ginzberg, Louis), Perush Rashi ʻal ha-Torah (Rashi)"
Dancing in the Flames: The Dark Goddess in the Transformation of Consciousness,Marion Woodman/Elinor Dickson,1570623139,No description available,"Femininity, Goddesses, Masculinity"
The Complete Book of Home  Site and Office Security: Selecting  Installing and Troubleshooting Systems and Devices,Bill   Phillips,0071467440,No description available,"Security systems, Dwellings, Security measures"
Pope Joan,Donna Woolfolk Cross,0345416260,No description available,"Open Library Staff Picks, Fiction, Joan (Legendary Pope), Church history, Fiction, historical, general"
Pope Joan: Translated & Adapted from the Greek,Emmanuel Rhoides/Lawrence Durrell,0720610656,No description available,"Fiction, Social conditions, Joan (Legendary Pope), Church history, Popes, Legends, English fiction, Middle Ages"
Glass Houses (The Morganville Vampires  #1),Rachel Caine,0451219945,No description available,Unknown
The Glass House (Captain Lacey  #3),Ashley Gardner,0425199436,No description available,"Social life and customs, Murder, Fiction, Investigation, Upper class, History, Fiction, mystery & detective, general"
Glass House,Philip Johnson/Toshio Nakamura,1580931863,No description available,"Buildings, structures, Homes and haunts, Glass House (New Canaan, Conn.), International style (Architecture), Architect-designed houses, Johnson, philip, 1906-2005, Architecture, modern, 21st century, Criticism and interpretation"
The Echo of Greece,Edith Hamilton,0393002314,No description available,"Trojan War, Greek drama, Greek drama (Tragedy), Andromache (Legendary character), Translations into English, great_books_of_the_western_world, Drama, Translations into Esperanto, Ion (Greek mythology), open_syllabus_project, Greek plays, Hecuba (Legendary character), Helen of Troy (Greek mythology), Iphigenia (Greek mythology), Euripides, Translations into French, Cassandra (Legendary character), Queens, English drama, Greek drama, translations into english, Continental european drama (dramatic works by one author), Criticism and interpretation, Criticism and interpretationeuripides, Hecuba, Hecuba (legendary character)--drama, Queens--drama, Queens--troy (extinct city)--drama, Trojan war--drama, Queens--turkey--troy (extinct city)--drama, Pa3973 .t8 1976, 882/.01, Ancient, Classical & medieval, Women"
