"Duncan-Andrade","Jeffrey M. R.","The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools","This book furthers the discussion concerning critical pedagogy and its practical applications for urban contexts. It addresses two looming, yet under-explored questions that have emerged with the ascendancy of critical pedagogy in the educational discourse: (1) What does critical pedagogy look like in work with urban youth? and (2) How can a systematic investigation of critical work enacted in urban contexts simultaneously draw upon and push the core tenets of critical pedagogy? Addressing the tensions inherent in enacting critical pedagogy - between working to disrupt and to successfully navigate oppressive institutionalized structures, and between the practice of critical pedagogy and the current standards-driven climate - The Art of Critical Pedagogy seeks to generate authentic internal and external dialogues among educators in search of texts that offer guidance for teaching for a more socially just world.","nullEducation, Teaching, Nonfiction, Race, Grad School"
"Weatherford","Carole Boston","Freedom in Congo Square","Chosen as a New York Times Best Illustrated Book of 2016, this poetic, nonfiction story about a little-known piece of African American history captures a human’s capacity to find hope and joy in difficult circumstances and demonstrates how New Orleans' Congo Square was truly freedom’s heart.  Mondays, there were hogs to slop,  mules to train, and logs to chop.  Slavery was no ways fair.  Six more days to Congo Square.  As slaves relentlessly toiled in an unjust system in 19th century Louisiana, they all counted down the days until Sunday, when at least for half a day they were briefly able to congregate in Congo Square in New Orleans. Here they were free to set up an open market, sing, dance, and play music. They were free to forget their cares, their struggles, and their oppression. This story chronicles slaves' duties each day, from chopping logs on Mondays to baking bread on Wednesdays to plucking hens on Saturday, and builds to the freedom of Sundays and the special experience of an afternoon spent in Congo Square. This book will have a forward from Freddi Williams Evans (freddievans.com), a historian and Congo Square expert, as well as a glossary of terms with pronunciations and definitions.  AWARDS:  A Kirkus Reviews Best Book of 2016  A School Library Journal Best Book of 2016: Nonfiction  Starred reviews from School Library Journal, Booklist, Kirkus Reviews, and The Horn Book Magazine","nullPicture Books, Historical Fiction, Poetry, Childrens, African American, Historical, Music"
"de la Peña","Matt","Carmela Full of Wishes","When Carmela wakes up on her birthday, her wish has already come true--she's finally old enough to join her big brother as he does the family errands. Together, they travel through their neighborhood, past the crowded bus stop, the fenced-off repair shop, and the panaderia, until they arrive at the Laundromat, where Carmela finds a lone dandelion growing in the pavement. But before she can blow its white fluff away, her brother tells her she has to make a wish. If only she can think of just the right wish to make . . .","nullPicture Books, Realistic Fiction, Family, Childrens, Fiction, Cultural, Juvenile"
"McCafferty","Megan","Sloppy Firsts (Jessica Darling Series)","""My parents suck ass. Banning me from the phone and restricting my computer privileges are the most tyrannical parental gestures I can think of. Don't they realize that Hope's the only one who keeps me sane? I don't see how things could get any worse.""  When her best friend, Hope Weaver, moves away from Pineville, New Jersey, hyperobservant sixteen-year-old Jessica Darling is devastated. A fish out of water at school and a stranger at home, Jessica feels more lost than ever now that the only person with whom she could really communicate has gone. How is she supposed to deal with the boy- and shopping-crazy girls at school, her dad's obsession with her track meets, her mother salivating over big sister Bethany's lavish wedding, and her nonexistent love life?  A fresh, funny, utterly compelling fiction debut by first-time novelist Megan McCafferty, is an insightful, true-to-life look at Jessica's predicament as she embarks on another year of teenage torment—from the dark days of Hope's departure through her months as a type-A personality turned insomniac to her completely mixed-up feelings about Marcus Flutie, the intelligent and mysterious ""Dreg"" who works his way into her heart. Like a John Hughes for the twenty-first century, Megan McCafferty taps into the inherent humor and drama of the teen experience. This poignant, hilarious novel is sure to appeal to readers who are still going through it, as well as those who are grateful that they don't have to go back and grow up all over again.","nullYoung Adult, Romance, Fiction, Chick Lit, Contemporary, Realistic Fiction, Teen"
"Grimes","Nikki","Ordinary Hazards","In her own voice, author and poet Nikki Grimes explores the truth of a harrowing childhood in a memoir in verse.  Growing up with a mother suffering from paranoid schizophrenia and a mostly absent father, Nikki Grimes found herself terrorized by babysitters, shunted from foster family to foster family, and preyed upon by those she trusted. At the age of six, she poured her pain onto a piece of paper late one night—and discovered the magic and impact of writing. For many years, Nikki's notebooks were her most enduing companions. In this memoir, Nikki shows how the power of those words helped her conquer the hazards—ordinary and extraordinary—of her life.","nullPoetry, Memoir, Nonfiction, Biography, Mental Health, Biography Memoir, Teen"
"Lee","Lyla","Mindy Kim and the Birthday Puppy (Mindy Kim Series)","Mindy Kim, a young Korean American girl wants a puppy for her birthday!  All Mindy Kim has ever wanted is a puppy of her very own. After all, having all the toy dog plushies in the world isn’t quite the same thing as a real one! She wants a dog to take on walks, teach tricks, and cuddle with. She knows she has what it takes to be the perfect pet owner, and she thinks a dog would be a perfect gift for her upcoming birthday.  But her dad isn’t so sure she’s ready for the big responsibility. Can Mindy prove to her dad that she can handle a new addition to the Kim household?","nullFiction, Contemporary, Childrens, Middle Grade, Animals, Dogs, Juvenile"
"Manzer","Jenny","My Life as a Diamond","Ten-year-old Caspar ""Caz"" Cadman loves baseball and has a great arm. He loves the sounds, the smells, the stats. When his family moves from Toronto to a suburb of Seattle, the first thing he does is try out for the local summer team, the Redburn Ravens. Even though Caz is thrilled when he makes the team, he worries because he has a big secret.  No one knows that back in Toronto, Caz used to live life as a girl named Cassandra. And it's nobody's business. Caz will tell his new friends when he's ready.  But when a player on a rival team starts snooping around, Caz's past is revealed, and Caz worries it will be Toronto all over again.  Will Caz's teammates rally behind their star pitcher? Or will Caz be betrayed once more?  A heartwarming, funny, fast-paced story about the bravery it takes to live as your true self, no matter the cost.","nullLGBT, Sports, Middle Grade, Fiction, Realistic Fiction, Baseball, Contemporary"
"Stamper","Phil","The Gravity of Us (The Gravity of Us Series)","","null"
"Finneyfrock","Karen","The Sweet Revenge of Celia Door","That's the day the trouble started. The trouble that nearly ruined my life. The trouble that turned me Dark. The trouble that begs me for revenge.  Celia Door enters her freshman year of high school with giant boots, dark eyeliner, and a thirst for revenge against Sandy Firestone, the girl who did something unspeakable to Celia last year.  But then Celia meets Drake, the cool new kid from New York City who entrusts her with his deepest, darkest secret. When Celia's quest for justice threatens her relationship with Drake, she's forced to decide which is sweeter: revenge or friendship.  This debut novel from Karen Finneyfrock establishes her as a bright, bold, razor-sharp new voice for teens, perfect for fans of The Perks of Being a Wallflower and Will Grayson, Will Grayson.","nullYoung Adult, Fiction, Realistic Fiction, Contemporary, LGBT, Teen, Poetry"
"Love","Bettina L.","We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom","Drawing on personal stories, research, and historical events, an esteemed educator offers a vision of educational justice inspired by the rebellious spirit and methods of abolitionists.  Drawing on her life's work of teaching and researching in urban schools, Bettina Love persuasively argues that educators must teach students about racial violence, oppression, and how to make sustainable change in their communities through radical civic initiatives and movements. She argues that the US educational system is maintained by and profits from the suffering of children of color. Instead of trying to repair a flawed system, educational reformers offer survival tactics in the forms of test-taking skills, acronyms, grit labs, and character education, which Love calls the educational survival complex.  To dismantle the educational survival complex and to achieve educational freedom--not merely reform--teachers, parents, and community leaders must approach education with the imagination, determination, boldness, and urgency of an abolitionist. Following in the tradition of activists like Ella Baker, Bayard Rustin, and Fannie Lou Hamer, introduces an alternative to traditional modes of educational reform and expands our ideas of civic engagement and intersectional justice.","nullEducation, Nonfiction, Teaching, Social Justice, Race, Anti Racist, School"
"Philips","L.","Sometime After Midnight","",""
"Rosen","Michael J.","Girls vs. Guys: Surprising Differences Between the Sexes","Do mosquitoes bite guys more than girls? Which sex is better at diapering babies, remembering birthdays, or hammering nails? Explore the ways that environment, experience, neurology, physiology, and genetics shape gender behaviorin expected and unexpected ways.","nullNonfiction"
"Oluo","Ijeoma","So You Want to Talk About Race","In this breakout book, Ijeoma Oluo explores the complex reality of today's racial landscape--from white privilege and police brutality to systemic discrimination and the Black Lives Matter movement--offering straightforward clarity that readers need to contribute to the dismantling of the racial divide  In So You Want to Talk About Race, Editor at Large of The Establishment Ijeoma Oluo offers a contemporary, accessible take on the racial landscape in America, addressing head-on such issues as privilege, police brutality, intersectionality, micro-aggressions, the Black Lives Matter movement, and the ""N"" word. Perfectly positioned to bridge the gap between people of color and white Americans struggling with race complexities, Oluo answers the questions readers don't dare ask, and explains the concepts that continue to elude everyday Americans.  Oluo is an exceptional writer with a rare ability to be straightforward, funny, and effective in her coverage of sensitive, hyper-charged issues in America. Her messages are passionate but finely tuned, and crystalize ideas that would otherwise be vague by empowering them with aha-moment clarity. Her writing brings to mind voices like Ta-Nehisi Coates and Roxane Gay, and Jessica Valenti in and a young Gloria Naylor, particularly in Naylor's seminal essay ""The Meaning of a Word.""","nullNonfiction, Race, Audiobook, Social Justice, Anti Racist, Politics, Sociology"
"Godin","Thelma Lynne","The Hula-Hoopin' Queen","Kameeka is confident that today she will finally beat her rival, Jamara, and become the Hula-Hoopin Queen of 139th Street. But then Mama reminds her that today is their neighbor Miz Adeline s birthday, and Kameeka has a ton of chores to do to get ready for the party they are hosting. Kameeka s disappointed to be stuck at home and can only think about the hoopin competition. Distracted, Kameeka accidentally ruins Miz Adeline s birthday cake, and has to confess to her that there won t be a cake for her special day. But then Miz Adeline s confesses something too: she s also got the itch the hula-hoopin itch! Her fingers start snappin . Her hips start swingin . Soon everyone s hips are swinging as the party spills out onto the street. The whole neighborhood s got the itch the hula-hoopin itch! With vibrant illustrations by Vanessa Brantley-Newton, The Hula-Hoopin Queen is a charming celebration of family and community ties. Set in Harlem, this intergenerational story shows the importance of staying young at heart.""","nullPicture Books, Realistic Fiction, Family, Cultural, Childrens, Fiction, African American"
"Myracle","Lauren","The Infinite Moment of Us","For as long as she can remember, Wren Gray’s goal has been to please her parents. But as high school graduation nears, so does an uncomfortable realization: Pleasing her parents once overlapped with pleasing herself, but now... not so much. Wren needs to honor her own desires, but how can she if she doesn’t even know what they are?  Charlie Parker, on the other hand, is painfully aware of his heart’s desire. A gentle boy with a troubled past, Charlie has loved Wren since the day he first saw her. But a girl like Wren would never fall for a guy like Charlie—at least not the sort of guy Charlie believes himself to be.  And yet certain things are written in the stars. And in the summer after high school, Wren and Charlie’s souls will collide. But souls are complicated, as are the bodies that house them...  Sexy, romantic, and oh-so-true to life, this is an unforgettable look at first love from one of young adult fiction’s greatest writers.","nullYoung Adult, Romance, Contemporary, Realistic Fiction, Fiction, Banned Books, Teen"
"Maison","Corey","Identity: A Story of Transitioning","What do you do when you are born as one gender, but feel yourself to be another? Gender dysphoria affects thousands of people worldwide, but has been ignored or ridiculed in our culture. With this graphic novel, Corey Maison boldly shares her story of transitioning, so that other kids with gender dysphoria and related conditions will no longer feel so isolated, hopeless, or lost.  Corey Maison was born a girl, trapped in a boy’s body. Growing up, Corey was more interested in dolls than trucks; in dresses than jeans. Everything about Corey was female . . . except her physicality.  Known as gender dysphoria, this condition is devastating if not acknowledged. But society is slow to be sympathetic to the idea that a person’s gender is not entirely based on physiology, but instead is fluid, and a combination of emotional and psychological self-awareness along with, or sometimes more importantly, physical characteristics.  IDENTITY tells the complex and moving tale of a young person who knows that their true gender is not the one they were assigned at birth. With unconditional love and support from her mother, Corey successfully starts the transition process with hopes of being comfortable in her own skin, being accepted by others, and raising awareness of young people who wish to transition. At 16-years-old, Corey has become a voice for other trans teens, battling bullies and helping others who are on their own individual journeys of identity.","nullGraphic Novels, Comics, Young Adult, LGBT, Queer, Graphic Novels Manga, Coming Of Age"
"Grehan","Meg","The Deepest Breath","",""
"Terrell","Brandon","High Drama (Suspended Series)","After seeing her best friend, Kat, kissing another girl, Dessa keeps the secret but her anger over Kat not confiding in her causes trouble.","null"
"Coates","Ta-Nehisi","We Were Eight Years in Power: An American Tragedy","""We were eight years in power"" was the lament of Reconstruction-era black politicians as the American experiment in multiracial democracy ended with the return of white supremacist rule in the South. Now Ta-Nehisi Coates explores the tragic echoes of that history in our own time: the unprecedented election of a black president followed by a vicious backlash that fueled the election of the man Coates argues is America's ""first white president.""  But the story of these present-day eight years is not just about presidential politics. This book also examines the new voices, ideas, and movements for justice that emerged over this period--and the effects of the persistent, haunting shadow of our nation's old and unreconciled history. Coates powerfully examines the events of the Obama era from his intimate and revealing perspective--the point of view of a young writer who begins the journey in an unemployment office in Harlem and ends it in the Oval Office, interviewing a president.  features Coates's iconic essays first published in including and , along with eight fresh essays that revisit each year of the Obama administration through Coates's own experiences, observations, and intellectual development, capped by a bracingly original assessment of the election that fully illuminated the tragedy of the Obama era. is a vital account of modern America, from one of the definitive voices of this historic moment.","nullNonfiction, Politics, History, Essays, Race, Audiobook, Social Justice"
"Fleischman","Paul","Seedfolks","A Vietnamese girl plants six lima beans in a Cleveland vacant lot. Looking down on the immigrant-filled neighborhood, a Romanian woman watches suspiciously. A school janitor gets involved, then a Guatemalan family. Then muscle-bound Curtis, trying to win back Lateesha. Pregnant Maricela. Amir from India. A sense of community sprouts and spreads.   Newbery-winning author Paul Fleischman uses thirteen speakers to bring to life a community garden's founding and first year. The book's short length, diverse cast, and suitability for adults as well as children have led it to be used in countless one-book reads in schools and in cities across the country.  has been drawn upon to teach tolerance, read in ESL classes, promoted by urban gardeners, and performed in schools and on stages from South Africa to Broadway.","nullYoung Adult, Fiction, Realistic Fiction, Middle Grade, School, Cultural, Childrens"
"Konigsberg","Bill","Honestly Ben (Openly Straight Series)","","null"
"Heaney","Katie","Girl Crushed","Leah on the Offbeat meets We Are Okay in this pitch-perfect queer romance about falling in love and never quite falling out of it--heartbreak, unexpected new crushes, and all.  Before Quinn Ryan was in love with Jamie Rudawski, she loved Jamie Rudawski, who was her best friend. But when Jamie dumps Quinn a month before their senior year, Quinn is suddenly girlfriend-less and best friend-less.  Enter a new crush: Ruby Ocampo, the gorgeous and rich lead singer of the popular band Sweets, who's just broken up with her on-again, off-again boyfriend. Quinn's always only wanted to be with Jamie, but if Jamie no longer wants to be with her, why can't Quinn go all in on her crush on Ruby? But the closer Quinn grows to Ruby, the more she misses Jamie, and the more (she thinks) Jamie misses her. Who says your first love can't be your second love, too?  Katie Heaney is a full-time senior writer for The Cut, a former editor at BuzzFeed, and the author of the memoirs and is her YA debut.","nullLGBT, Romance, Young Adult, Contemporary, Queer, Fiction, Lesbian"
"McLemore","Anna-Marie","When the Moon Was Ours","To everyone who knows them, best friends Miel and Sam are as strange as they are inseparable. Roses grow out of Miel’s wrist, and rumors say that she spilled out of a water tower when she was five. Sam is known for the moons he paints and hangs in the trees, and for how little anyone knows about his life before he and his mother moved to town. But as odd as everyone considers Miel and Sam, even they stay away from the Bonner girls, four beautiful sisters rumored to be witches. Now they want the roses that grow from Miel’s skin, convinced that their scent can make anyone fall in love. And they’re willing to use every secret Miel has fought to protect to make sure she gives them up.","nullFantasy, Young Adult, Magical Realism, LGBT, Queer, Romance, Fiction"
"Tonatiuh","Duncan","The Princess and the Warrior: A Tale of Two Volcanoes","In the picture book Princess and the A Tale of Two Volcanoes , award-winning author and illustrator Duncan Tonatiuh brings a cherished Mexican legend to life.  A Pura Belpré Illustrator Honor Book  ALA/ALSC Notable Children’s Book!  “A palette of earthy, evocative colors . . . A genuine triumph.” ― Kirkus Reviews (Starred Review)  “Use this Aztec legend to inspire readers while teaching a bit about dramatic irony.” — School Library Journal  Izta was the most beautiful princess in the land, and suitors traveled from far and wide to woo her. Even though she was the daughter of the emperor, Izta had no desire to marry a man of wealth and power. Instead, she fell in love with Popoca, a brave warrior who fought in her father’s army—and a man who did not offer her riches but a promise to stay by her side forever.  The emperor did not want his daughter to marry a mere warrior, but he recognized Popoca’s bravery. He offered Popoca a If the warrior could defeat their enemy, Jaguar Claw, then the emperor would permit Popoca and Izta to wed. But Jaguar Claw had a plan to thwart the warrior. Would all be lost?  Today two majestic volcanoes—Popocatépetl and Iztaccíhuatl—stand overlooking Mexico City. They have been admired and revered for countless generations and have formed the basis of many origin and creation myths.  The integration of Nahuatl words (defined with a pronunciation guide in the glossary) into the narrative provides a rich opportunity to introduce and explore another facet of ancient Aztec culture. Take your child on an adventure back in time to a land of color and beauty.","nullPicture Books, Childrens, Folklore, Cultural, Mythology, Fiction, Fantasy"
"Daemicke","Songju Ma","A Case of Sense","","null"
"Worthington","Michelle","Noah Chases the Wind","Winner of the silver medal in the Moonbeam Children's Books Award in the Picture Book 4–8-year-old category from Independent Publisher  Winner of the Gelett Burgess Children's Book Award  Noah knew he was different. He could see things that others couldn't, like the patterns in the dust that floated down on sunbeams. Noah is different. He sees, hears, feels, and thinks in ways that other people don't always understand, and he asks a lot of questions along the way. Noah loves science, especially the weather. His books usually provide him with the answers he needs, until one day, there's one question they don't answer—and that is where Noah's windy adventure begins. Filled with rich, sweeping illustrations, this picture book celebrates the inquisitive nature of all children, including those on the autism spectrum, who cannot stop asking a question until an answer has been unearthed. The book contains a page of information for parents, caregivers, and educators about the importance of helping children feel good about their differences and know that being different is okay. Michelle Worthington was born in Brisbane, Queensland, and has lived there all her life. She is much-published author in Australia. Joseph Cowman lives and paints in the hills and valleys of suburban Idaho. He is a long-standing member of the Society of Children's Books Writers and Illustrators. He is the illustrator of six other Redleaf Lane books, including most recently, The Amazing Erik and Rita and the Firefighters .","nullPicture Books, Autistic Spectrum Disorder, Childrens, Disability, Fantasy"
"Yang","Kelly","Parachutes","Speak enters the world of Gossip Girl in this modern immigrant story from New York Times bestselling author Kelly Yang about two girls navigating wealth, power, friendship, and trauma.  They’re called parachutes: teenagers dropped off to live in private homes and study in the US while their wealthy parents remain in Asia. Claire Wang never thought she’d be one of them, until her parents pluck her from her privileged life in Shanghai and enroll her at a high school in California. Suddenly she finds herself living in a stranger’s house, with no one to tell her what to do for the first time in her life. She soon embraces her newfound freedom, especially when the hottest and most eligible parachute, Jay, asks her out.  Dani De La Cruz, Claire’s new host sister, couldn’t be less thrilled that her mom rented out a room to Claire. An academic and debate-team star, Dani is determined to earn her way into Yale, even if it means competing with privileged kids who are buying their way to the top. When her debate coach starts working with her privately, Dani’s game plan veers unexpectedly off course.  Desperately trying to avoid each other under the same roof, Dani and Claire find themselves on a collision course, intertwining in deeper and more complicated ways, as they grapple with life-altering experiences. Award-winning author Kelly Yang weaves together an unforgettable modern immigrant story about love, trauma, family, corruption, and the power of speaking out.","nullYoung Adult, Contemporary, Fiction, Romance, Audiobook, LGBT, Realistic Fiction"
"Eugenides","Jeffrey","Middlesex","Middlesex tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling, Middlesex is an exhilarating reinvention of the American epic.","nullFiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Queer"
"Do","Anh","WeirDo Series: Hopping Weird!","Mum’s got a cool new job at the animal hospital... but now Weir’s house is like a ZOO! How can Bella and Weir help look after all the animals AND finish their school project?! It won’t be easy... but it will be FUNNY!","nullChildrens, Graphic Novels"
"Fantauzzo","Laurel Flores","My Heart Underwater","After Corazon's mother catches her kissing her older female teacher, Corazon is sent to the Philippines to live with a half brother she barely knows. There she learns more about loss and love than she could have ever imagined.  Corazon Tagubio is an outcast at her Catholic school. She’s attending on scholarship, she keeps to herself, and her crush on her teacher Ms. Holden doesn’t help anything. At home, Cory’s less-than-perfect grades disappoint her mom and dad, who are already working overtime to support her distant half brother in the Philippines.  When an accident leaves her dad comatose, Cory feels like Ms. Holden is the only person who really sees her. But when a crush turns into something more and the secret gets out, Cory is sent to her half brother. She’s not prepared to face a stranger in an unfamiliar place, but she begins to discover how the country that shaped her past might also change her future.","nullYoung Adult, LGBT, Contemporary, Romance, Fiction, Audiobook, Family"
"Weatherford","Carole Boston","Before John Was a Jazz Giant: A Song of John Coltrane","Young John Coltrane was all ears. And there was a lot to hear growing up in the South in the 1930 preachers praying, music on the radio, the bustling of the household. These vivid noises shaped John's own sound as a musician. Carole Boston Weatherford and Sean Qualls have composed an amazingly rich hymn to the childhood of jazz legend John Coltrane.  Before John Was a Jazz Giant is a 2009 Coretta Scott King Illustrator Honor Book and a 2009 Bank Street - Best Children's Book of the Year.","nullPicture Books, Biography, Music, Nonfiction, Childrens, African American, Jazz"
"Faruqi","Saadia","Yasmin the Soccer Star (Yasmin Series)","Everyone in Yasmin's gym class is excited to play soccer, except for Yasmin. She's seen the pros play, and it looks scary! When Yasmin is chosen as goalie, will she step up or back out? Courage, Yasmin!","nullChildrens, Picture Books, Sports, Chapter Books, Muslims"
"Palacio","R. J.","White Bird","A Wonder story  In R. J. Palacio's bestselling collection of stories, Auggie & Me, which expands on characters in Wonder, readers were introduced to Julian's grandmother, Grandmère. Here, Palacio makes her graphic novel debut with Grandmère's heartrending how she, a young Jewish girl, was hidden by a family in a Nazi-occupied French village during World War II; how the boy she and her classmates once shunned became her savior and best friend.  Grandmère's harrowing experience movingly demonstrates the power of kindness to change hearts, build bridges, and even save lives. As Grandmère tells Julian, ""It always takes courage to be kind, but in those days, such kindness could cost you everything."" With poignant symbolism and gorgeous artwork that brings Grandmère's story out of the past and cements it firmly in this moment in history, is sure to captivate anyone who was moved by .","nullGraphic Novels, Historical Fiction, Middle Grade, Young Adult, Holocaust, Fiction, Historical"
"Smith","Amber","Something Like Gravity","For fans of Love, Simon and Eleanor and Park, a romantic and sweet novel about a transgender boy who falls in love for the first time—and how first love changes us all—from New York Times bestselling author Amber Smith.  Chris and Maia aren’t off to a great start.  A near-fatal car accident first brings them together, and their next encounters don’t fare much better. Chris’s good intentions backfire. Maia’s temper gets the best of her.  But they’re neighbors, at least for the summer, and despite their best efforts, they just can’t seem to stay away from each other.  The path forward isn’t easy. Chris has come out as transgender, but he’s still processing a frightening assault he survived the year before. Maia is grieving the loss of her older sister and trying to find her place in the world without her. Falling in love was the last thing on either of their minds.  But would it be so bad if it happened anyway?","nullRomance, LGBT, Young Adult, Contemporary, Queer, Young Adult Contemporary, Realistic Fiction"
"Walden","Tillie","Spinning","Poignant and captivating, Ignatz Award winner Tillie Walden's powerful graphic memoir, Spinning, captures what it's like to come of age, come out, and come to terms with leaving behind everything you used to know.  It was the same every morning. Wake up, grab the ice skates, and head to the rink while the world was still dark.  Weekends were spent in glitter and tights at competitions. Perform. Smile. And do it again.  She was good. She won. And she hated it.  For ten years, figure skating was Tillie Walden's life. She woke before dawn for morning lessons, went straight to group practice after school, and spent weekends competing at ice rinks across the state. It was a central piece of her identity, her safe haven from the stress of school, bullies, and family. But over time, as she switched schools, got into art, and fell in love with her first girlfriend, she began to question how the close-minded world of figure skating fit in with the rest of her life, and whether all the work was worth it given the reality: that she, and her friends on the figure skating team, were nowhere close to Olympic hopefuls. It all led to one question: The more Tillie thought about it, the more Tillie realized she'd outgrown her passion--and she finally needed to find her own voice.","nullGraphic Novels, Memoir, Comics, Nonfiction, LGBT, Queer, Sports"
